text,label_A,label_B,label_C
Has @USER quit? I've not heard of any #knifecrime today!,NOT,,
"In celebration of Emancipation Day, we urge you to emancipate yourself from the road today 🚗",NOT,,
@USER @USER It’d be a literal dream come true for me to win especially as a birthday gift for this year!! #HappinessBeginsTour,NOT,,
Brilliant news to read that Hoggy has signed a new contract at #htafc until 2021 with the club!,NOT,,
@USER She speaks of the truth 😌,NOT,,
And I'm sooooo tired being too sensitive about everything,NOT,,
Follow everyone who RETWEETS and LIKES 🍞,NOT,,
dami ko natutunan as a person overall in the past months and will continue learning in this next season. good luck to us,NOT,,
New post on my blog plix. Link in my bio. Go check it out and shareeeeee 🙂❤️,NOT,,
"@USER If I were there, I'd jump at the chance! The colour in that work is absolutely beautiful. 😲 Thanks for sharing it.",NOT,,
@USER Time stops when you dont use it,NOT,,
@USER It's one way of justifying Hope or King hubs - I find a noisy freehub a fairly benign way of announcing my presence on a trail,NOT,,
@USER Praise the Lord! So happy for you!!,NOT,,
Keri need to be on time,NOT,,
@USER @USER Did you just find out too? The tweet was my notification late last night.,NOT,,
"Imagine a world where @USER replaced Baquet, Zucker, or the Murdoch boys.  How can that be achieved? Can staff demand change?",NOT,,
@USER Thanks for the follow! #tacosforever,NOT,,
"Hey @USER, Thank you for the follow!",NOT,,
@USER right where was yall in 08??? 😂,NOT,,
@USER @USER @USER You forgot: then we can focus on constructive laws to alter the 2nd amendment for the modern age.,NOT,,
🏈 countdown is ON,NOT,,
@USER I was too excited to get my shot in.,NOT,,
Moving to Edinburgh is more stressful than I thought 🤯,NOT,,
@USER I think it'll happen before the deadline,NOT,,
"do i say it? yes i say it, i've never seen more beautiful mvs than the ones of bts :)",NOT,,
@USER @USER @USER @USER Right. I can’t see the original.,NOT,,
@USER @USER looking forward for it . I am sure will be a huge success as always ❤️ love u sir,NOT,,
It Happened to Me: I Saw A Fanart of An FFXV Pairing and Thought It Was Fanart For A Different Series,NOT,,
@USER Almost!! Sheeeeeeed. I can't even answer the question when asked at times. Who's your favorite team? 😒,NOT,,
"If the country could Tweet about anything else besides guns today, what should it be?",NOT,,
Sometimes my feelings/emotions can get the best of me.,NOT,,
12. [] tweeted somethinging on the wrong account. 😔,NOT,,
"Always remember that you only live once so you need to work hard, live a good life and love life. Tomorrow is not promised.",NOT,,
@USER @USER he’s also our best defender of the last 15 years,NOT,,
"Julia's reputation is going down in 3,2,1.... #TeamBea",NOT,,
Which game should I delete to install iw,NOT,,
I don't know what's happening to me... Why i feel this something heavy in my chest...,NOT,,
@USER You as well! ☀️ 😎✏️,NOT,,
Will be taking free incalls from the village Hotel in Wallsall today. Two slots are still available.. Book now,NOT,,
My favorite part of the day is when I get to go to bed.,NOT,,
@USER Thank u sir for being with us #SayNoToNMCbill,NOT,,
"@USER Not a chance you have Zaha, Jordan Ayew, Connor Wickham and the best of all Cristian Benteke 😂😂",NOT,,
C'mon self look on the bright side,NOT,,
"The local buses are always late apart from when I’m running late, then it will guaranteed be on time.",NOT,,
@USER it was #dropthepantiestothefloorday....,NOT,,
@USER I’d love to see it mid process as I build but costs are higher than what people can afford- open for visitors?,NOT,,
"Sitting in this meeting awash with grief. May the ancestors welcome you with love and light, Toni Morrison.",NOT,,
@USER @USER @USER Royal Omni Orleans is the one in the French Quarter,NOT,,
@USER Their community looks to be so much better tbh,NOT,,
Coutinho. Upamecano. Tierney. Best ever transfer window for #AFC to date. Make it happen Raul.,NOT,,
@USER True. And the definition of “enough” is relative. You guys value gratitude to the smallest efforts.,NOT,,
@USER @USER I’m working in Birmingham the next few weeks up September onwards is pretty good. Shall I dm you?,NOT,,
"@USER I've tried several times for preemptive or standing requests, but don't seem to get anywhere… 😬🤷",NOT,,
@USER I respect him a little coz him leaving made us better. If he joined back it would make us unstoppable imo.,NOT,,
Aaaaah how beautiful it is to be an Arsenal Fan right now omg I can't believe it foooook,NOT,,
Ok boys Time for haircut,NOT,,
I thought Wayne was in everyone’s top 5.,NOT,,
@USER The pic of him shirtless is IT,NOT,,
@USER The video is ready and all set to screen it from 4 am show 🔥🔥🔥,NOT,,
@USER But you only lived in the uk for two years?  Do you know a Mr Alan Lake?,NOT,,
