text,label_A,label_B,label_C,type,label
user quit not heard knifecrime today,NOT,,,Not Offensive,0
celebration emancipation day urge emancipate road today automobile,NOT,,,Not Offensive,0
user user would literal dream come true win especially birthday gift year happinessbeginstour,NOT,,,Not Offensive,0
brilliant news read doggy signed new contract staff club,NOT,,,Not Offensive,0
user speaks truth relievedface,NOT,,,Not Offensive,0
so tired sensitive everything,NOT,,,Not Offensive,0
follow everyone tweet like bread,NOT,,,Not Offensive,0
damn to natutunan person overall past month continue learning next season good luck u,NOT,,,Not Offensive,0
new post blog pix link big go check share slightlysmilingfaceredheart,NOT,,,Not Offensive,0
user would jump chance color work absolutely beautiful astonishedface thanks sharing,NOT,,,Not Offensive,0
user tear eye stop not use,NOT,,,Not Offensive,0
user one way justifying hope king hub find noisy freehub fairly benign way announcing presence trail,NOT,,,Not Offensive,0
user praise lord significant happy,NOT,,,Not Offensive,0
keri need tear eye,NOT,,,Not Offensive,0
user user find tweet notification late last night,NOT,,,Not Offensive,0
imagine world user replaced banquet sucker murdoch boy achieved staff demand change,NOT,,,Not Offensive,0
user thanks follow tacosforever,NOT,,,Not Offensive,0
hey user thank follow,NOT,,,Not Offensive,0
user right facewithtearsofjoy,NOT,,,Not Offensive,0
user user user forgot focus constructive law alter nd amendment modern age,NOT,,,Not Offensive,0
americanfootball countdown,NOT,,,Not Offensive,0
user excited get shot,NOT,,,Not Offensive,0
moving edinburgh stressful thought explodinghead,NOT,,,Not Offensive,0
user think happen deadline,NOT,,,Not Offensive,0
say yes say never seen beautiful me one behind scene happy face smiley,NOT,,,Not Offensive,0
user user user user right not see original,NOT,,,Not Offensive,0
user user looking forward sure huge success always redhead love sir,NOT,,,Not Offensive,0
happened saw apart fix pairing thought apart different series,NOT,,,Not Offensive,0
user almost she'd not even answer question asked time favorite team unamusedface,NOT,,,Not Offensive,0
country could tweet anything else besides gun today,NOT,,,Not Offensive,0
sometimes feelingsemotions get best,NOT,,,Not Offensive,0
tweeted somethinging wrong account pensiveface,NOT,,,Not Offensive,0
always remember live significant need work hard live good life love life tomorrow not promised,NOT,,,Not Offensive,0
user user also best defender last year,NOT,,,Not Offensive,0
julian reputation going teamed,NOT,,,Not Offensive,0
game delete install i,NOT,,,Not Offensive,0
not know happening feel something heavy chest,NOT,,,Not Offensive,0
user well sun smilingfacewithsunglassespencil,NOT,,,Not Offensive,0
taking free call village hotel walsall today two slot still available book,NOT,,,Not Offensive,0
favorite part day get go bed,NOT,,,Not Offensive,0
user thank sir u saynotonmcbill,NOT,,,Not Offensive,0
user not chance aha jordan aye connors ockham best christian benzene facewithtearsofjoyfacewithtearsofjoy,NOT,,,Not Offensive,0
con self look bright side,NOT,,,Not Offensive,0
local bus always late apart running late guaranteed tear eye,NOT,,,Not Offensive,0
user dropthepantiestothefloorday,NOT,,,Not Offensive,0
user would love see mid process build cost higher people afford open visitor,NOT,,,Not Offensive,0
sitting meeting awash grief may ancestor welcome love light toni morrison,NOT,,,Not Offensive,0
user user user royal omani orleans one french quarter,NOT,,,Not Offensive,0
user community look significant much better honest,NOT,,,Not Offensive,0
continuo upamecano tourney best ever transfer window aft date make happen raul,NOT,,,Not Offensive,0
user true definition enough relative guy value gratitude smallest effort,NOT,,,Not Offensive,0
user user working birmingham next week september onwards pretty good shall direct message,NOT,,,Not Offensive,0
user tried several time preemptive standing request not seem get anywhere grimacingfacepersonshrugging,NOT,,,Not Offensive,0
user respect little coz leaving made u better joined back would make u unstoppable opinion,NOT,,,Not Offensive,0
ayah beautiful arsenal fan right overheard god not believe look,NOT,,,Not Offensive,0
ok boy tear eye haircut,NOT,,,Not Offensive,0
thought wayne everyone top,NOT,,,Not Offensive,0
user pic shirtless,NOT,,,Not Offensive,0
user video ready set screen show surefire,NOT,,,Not Offensive,0
user lived up two year know mr alan lake,NOT,,,Not Offensive,0
no mean let accidentally retreated mentioned one,NOT,,,Not Offensive,0
user remember first reading subject one english give essay,NOT,,,Not Offensive,0
user thanks tweet lot guy want feel helpful guessing u,NOT,,,Not Offensive,0
user welcome club survived toxicity,NOT,,,Not Offensive,0
always keep mind far away possible people smoke,NOT,,,Not Offensive,0
invent language say mean world toni morrison,NOT,,,Not Offensive,0
great day bless,NOT,,,Not Offensive,0
user always wear one significant good loudlycryingface,NOT,,,Not Offensive,0
user overheard well aware caroline point though may missed subtlety,NOT,,,Not Offensive,0
i semantics english love french amour introduced japan,NOT,,,Not Offensive,0
user significant kind thank sparklingheart,NOT,,,Not Offensive,0
thank laurent sooner forever goonerlaurent koscielny leaving u join gigue side bordeaux,NOT,,,Not Offensive,0
really want life partner,NOT,,,Not Offensive,0
tied audience twice meal,NOT,,,Not Offensive,0
bobbie real map movie,NOT,,,Not Offensive,0
user user trying think look like,NOT,,,Not Offensive,0
user user beth need take boy soccer practice,NOT,,,Not Offensive,0
user gerald read comment tweet learn something,NOT,,,Not Offensive,0
user right tweet waiting clappinghandsmediumdarkskintoneclappinghandsmediumdarkskintoneexclamationmarkexclamationmark,NOT,,,Not Offensive,0
handshake adding salt pepper food restaurant tasting,NOT,,,Not Offensive,0
not think ever fell fell not fall love rose toni morrison jazz,NOT,,,Not Offensive,0
one hundred between ten reply between vote kcamexico behind scene user butterfly,NOT,,,Not Offensive,0
disappointment today i proved perfect all,NOT,,,Not Offensive,0
user trying best keep u water year come nothing else,NOT,,,Not Offensive,0
user user user yes fire vote hillary right brilliant,NOT,,,Not Offensive,0
happy would see episode slow motion,NOT,,,Not Offensive,0
unlock toni morrison changed significant much world overcome,NOT,,,Not Offensive,0
user not think painkiller think stay single gospel praying,NOT,,,Not Offensive,0
user not charming well,NOT,,,Not Offensive,0
user market personshruggingmediumdarkskintonefemalesignfacewithtearsofjoy,NOT,,,Not Offensive,0
looking server middle east october,NOT,,,Not Offensive,0
user user not heckling asking question,NOT,,,Not Offensive,0
user yo outlast kick ready join,NOT,,,Not Offensive,0
