text,label_A,label_B,label_C,type,label
Has USER quit? I have not heard of any knifecrime today!,NOT,,,Not Offensive,0
"In celebration of Emancipation Day, we urge you to emancipate yourself from the road today automobile",NOT,,,Not Offensive,0
USER USER It would be a literal dream come true for me to win especially as a birthday gift for this year!! HappinessBeginsTour,NOT,,,Not Offensive,0
Brilliant news to read that Hoggy has signed a new contract at htafc until  with the club!,NOT,,,Not Offensive,0
USER She speaks of the truth relieved_face,NOT,,,Not Offensive,0
And I am sooooo tired being too sensitive about everything,NOT,,,Not Offensive,0
Follow everyone who RETWEETS and LIKES bread,NOT,,,Not Offensive,0
dami ko natutunan as a person overall in the past months and will continue learning in this next season. good luck to us,NOT,,,Not Offensive,0
New post on my blog plix. Link in my bio. Go check it out and shareeeeee slightly_smiling_facered_heart,NOT,,,Not Offensive,0
"USER If I were there, I would jump at the chance! The colour in that work is absolutely beautiful. astonished_face Thanks for sharing it.",NOT,,,Not Offensive,0
USER tears in my eyes stops when you do not use it,NOT,,,Not Offensive,0
USER It is one way of justifying Hope or King hubs - I find a noisy freehub a fairly benign way of announcing my presence on a trail,NOT,,,Not Offensive,0
USER Praise the Lord! significant other happy for you!!,NOT,,,Not Offensive,0
Keri need to be on tears in my eyes,NOT,,,Not Offensive,0
USER USER Did you just find out too? The tweet was my notification late last night.,NOT,,,Not Offensive,0
"Imagine a world where USER replaced Baquet, Zucker, or the Murdoch boys. How can that be achieved? Can staff demand change?",NOT,,,Not Offensive,0
USER Thanks for the follow! tacosforever,NOT,,,Not Offensive,0
"Hey USER, Thank you for the follow!",NOT,,,Not Offensive,0
USER right where was you all in ??? face_with_tears_of_joy,NOT,,,Not Offensive,0
USER USER USER You forgot: then we can focus on constructive laws to alter the nd amendment for the modern age.,NOT,,,Not Offensive,0
american_football countdown is ON,NOT,,,Not Offensive,0
USER I was too excited to get my shot in.,NOT,,,Not Offensive,0
Moving to Edinburgh is more stressful than I thought exploding_head,NOT,,,Not Offensive,0
USER I think it will happen before the deadline,NOT,,,Not Offensive,0
"do i say it? yes i say it, i have never seen more beautiful mvs than the ones of behind the scenes Happy  face  or  smiley",NOT,,,Not Offensive,0
USER USER USER USER Right. I cannot see the original.,NOT,,,Not Offensive,0
USER USER looking forward for it . I am sure will be a huge success as always red_heart love you sir,NOT,,,Not Offensive,0
It Happened to Me: I Saw A Fanart of An FFXV Pairing and Thought It Was Fanart For A Different Series,NOT,,,Not Offensive,0
USER Almost!! Sheeeeeeed. I cannot even answer the question when asked at times. Who is your favorite team? unamused_face,NOT,,,Not Offensive,0
"If the country could Tweet about anything else besides guns today, what should it be?",NOT,,,Not Offensive,0
Sometimes my feelings/emotions can get the best of me.,NOT,,,Not Offensive,0
. [] tweeted somethinging on the wrong account. pensive_face,NOT,,,Not Offensive,0
"Always remember that you only live once significant other you need to work hard, live a good life and love life. Tomorrow is not promised.",NOT,,,Not Offensive,0
USER USER he is also our best defender of the last  years,NOT,,,Not Offensive,0
"Julia's reputation is going down in ,,.... TeamBea",NOT,,,Not Offensive,0
Which game should I delete to install iw,NOT,,,Not Offensive,0
I do not know what is happening to me... Why i feel this something heavy in my chest...,NOT,,,Not Offensive,0
USER You as well! sun smiling_face_with_sunglassespencil,NOT,,,Not Offensive,0
Will be taking free incalls from the village Hotel in Wallsall today. Two slots are still available.. Book now,NOT,,,Not Offensive,0
My favorite part of the day is when I get to go to bed.,NOT,,,Not Offensive,0
USER Thank you sir for being with us SayNoToNMCbill,NOT,,,Not Offensive,0
"USER Not a chance you have Zaha, Jordan Ayew, Connor Wickham and the best of all Cristian Benteke face_with_tears_of_joyface_with_tears_of_joy",NOT,,,Not Offensive,0
C'mon self look on the bright side,NOT,,,Not Offensive,0
"The local buses are always late apart from when I am running late, then it will guaranteed be on tears in my eyes.",NOT,,,Not Offensive,0
USER it was dropthepantiestothefloorday....,NOT,,,Not Offensive,0
USER I would love to see it mid process as I build but costs are higher than what people can afford- open for visitors?,NOT,,,Not Offensive,0
"Sitting in this meeting awash with grief. May the ancestors welcome you with love and light, Toni Morrison.",NOT,,,Not Offensive,0
USER USER USER Royal Omni Orleans is the one in the French Quarter,NOT,,,Not Offensive,0
USER Their community looks to be significant other much better to be honest,NOT,,,Not Offensive,0
Coutinho. Upamecano. Tierney. Best ever transfer window for AFC to date. Make it happen Raul.,NOT,,,Not Offensive,0
USER True. And the definition of enough is relative. You guys value gratitude to the smallest efforts.,NOT,,,Not Offensive,0
USER USER I am working in Birmingham the next few weeks up September onwards is pretty good. Shall I direct message you?,NOT,,,Not Offensive,0
"USER I have tried several times for preemptive or standing requests, but do not seem to get anywhere... grimacing_faceperson_shrugging",NOT,,,Not Offensive,0
USER I respect him a little coz him leaving made us better. If he joined back it would make us unstoppable in my opinion.,NOT,,,Not Offensive,0
Aaaaah how beautiful it is to be an Arsenal Fan right now overheard my god I cannot believe it foooook,NOT,,,Not Offensive,0
Ok boys tears in my eyes for haircut,NOT,,,Not Offensive,0
I thought Wayne was in everyone is top .,NOT,,,Not Offensive,0
USER The pic of him shirtless is IT,NOT,,,Not Offensive,0
USER The video is ready and all set to screen it from  am show firefirefire,NOT,,,Not Offensive,0
USER But you only lived in the uk for two years? Do you know a Mr Alan Lake?,NOT,,,Not Offensive,0
no i mean before lrt i accidentally retweeted the mentioned one,NOT,,,Not Offensive,0
USER I remember first reading it when I was  - the subject of one of my English GCSE essays...,NOT,,,Not Offensive,0
USER Thanks for the tweet. There is a lot of guys who just want to feel helpful. I am guessing it is most of us.,NOT,,,Not Offensive,0
USER Welcome to the club. We survived toxicity!,NOT,,,Not Offensive,0
i always keep in mind to be as far away as possible from people when i smoke,NOT,,,Not Offensive,0
 You can invent the language to say who you are and how you mean in this world - Toni Morrison,NOT,,,Not Offensive,0
Great day to bless up,NOT,,,Not Offensive,0
USER he always wears these ones it is significant other good on him loudly_crying_face,NOT,,,Not Offensive,0
"USER overheard, I am well aware of what Carolines point is. Though you may have missed the subtlety of it?",NOT,,,Not Offensive,0
"ie the semantics of English and ""Love"" in French and ""amour"" has been introduced in Japan.",NOT,,,Not Offensive,0
USER That is significant other kind of you thank you sparkling_heart,NOT,,,Not Offensive,0
"Thank you Laurent Once a gooner, forever a goonerLaurent Koscielny is leaving us to join Ligue  side Bordeaux",NOT,,,Not Offensive,0
what do you really want in life? in a partner?,NOT,,,Not Offensive,0
It is only  and they have TP-ed the audience. Twice.... MNPLS,NOT,,,Not Offensive,0
Bobbie is the real mvp in this movie,NOT,,,Not Offensive,0
USER USER That is it! I have been trying to think of who he looks like,NOT,,,Not Offensive,0
"USER USER Beth, you need to take the boys to soccer practice.",NOT,,,Not Offensive,0
"USER Geraldo, you should read the comments under this tweet and learn something.",NOT,,,Not Offensive,0
"USER That is it right there , that is the tweet I was waiting on clapping_handsmedium-dark_skin_toneclapping_handsmedium-dark_skin_toneexclamation_markexclamation_mark",NOT,,,Not Offensive,0
Me handshake adding salt and pepper to food in restaurants before tasting it.,NOT,,,Not Offensive,0
"Do not think I ever fell for you or fell over you. I did not fall in love, I rose in it. -Toni Morrison, Jazz",NOT,,,Not Offensive,0
ONE HUNDRED RETWEET TEN REPLY RETWEET TO VOTE KCAMexico behind the scenes USER butterfly,NOT,,,Not Offensive,0
"Disappointment today IK proved to be a perfect ""Lallu""....",NOT,,,Not Offensive,0
USER He is trying his best to keep the US in his waters for years to come-- nothing else.,NOT,,,Not Offensive,0
"USER USER USER Yes, fire them and vote for SHitllary right after. Brilliant!!",NOT,,,Not Offensive,0
How happy I would be to see all this episode in slow motion,NOT,,,Not Offensive,0
I have to unlock for this. Toni Morrison changed significant other much for me. For the world. I am overcome.,NOT,,,Not Offensive,0
USER I do not think painkiller will be on it I think it will stay a single and gospel I am PRAYING,NOT,,,Not Offensive,0
USER Not if your charming as well,NOT,,,Not Offensive,0
USER There is % a market for it person_shruggingmedium-dark_skin_tonefemale_signface_with_tears_of_joy,NOT,,,Not Offensive,0
We are looking into servers for the Middle East. More about this in October.,NOT,,,Not Offensive,0
USER USER That was not heckling. They were asking questions.,NOT,,,Not Offensive,0
USER yo outlast was kickass I am ready to join you,NOT,,,Not Offensive,0
I think it should be USER in USER what a team battle that would be thinking_faceWhat do you think?thinking_face Will Valtteri Bottas be in a Mercedes next year?,NOT,,,Not Offensive,0
"USER And those records stand bruh. I play ""Stay true to the game"" daily",NOT,,,Not Offensive,0
I moved to Florida about  yrs ago wOw glad  be bAck,NOT,,,Not Offensive,0
USER Haha. My last one was  hours,NOT,,,Not Offensive,0
USER His dementia is getting significant other bad lately I am not sure he remembers what he said  hours previous.,NOT,,,Not Offensive,0
USER Pretty wild. has potential to be the best chapter of the series,NOT,,,Not Offensive,0
Is it friday yet? disappointed_but_relieved_face,NOT,,,Not Offensive,0
"Going to a series of steps, then bike..",NOT,,,Not Offensive,0
never forget when USER wore fingerless gloves to play bass at the Reading Fightins,NOT,,,Not Offensive,0
USER USER Congrats &amp; best wishes for your senior year and beyond!!!,NOT,,,Not Offensive,0
"USER If the voices are happy, who am I to argue. Please proceed.",NOT,,,Not Offensive,0
